Date,Open,High,Low,Close,Adj Close,Volume
03/17/2010,57.970001,58.43,57.860001,58.150002,40.072441,6501700
03/18/2010,58.470001,58.490002,57.720001,58.150002,40.072441,4531100
03/19/2010,57.689999,58.240002,57.130001,57.689999,39.755455,5393600
03/22/2010,56.630001,57.450001,56.560001,57.349998,39.521141,5869300
03/23/2010,57.540001,58.02,57.389999,57.950001,39.934608,5391100
03/24/2010,57.110001,57.34,56.919998,57.23,39.438442,6600000
03/25/2010,57.259998,57.349998,56.509998,56.529999,38.956059,6029600
03/26/2010,56.490002,56.900002,56.330002,56.689999,39.066326,5852100
03/29/2010,56.41,56.970001,56.400002,56.889999,39.204151,6023400
03/30/2010,56.939999,57.119999,56.669998,56.830002,39.1628,5848600
03/31/2010,56.689999,57.279999,56.610001,57.07,39.328182,6330300
04/01/2010,57.450001,58.07,57.43,57.740002,39.789906,6979700
04/05/2010,58.27,58.669998,58,58.509998,40.320511,3636100
04/06/2010,58.529999,59.419998,58.41,59.360001,40.906273,5790300
04/07/2010,58.98,59.16,58.59,58.779999,40.506584,4961800
04/08/2010,58.259998,59.040001,58.080002,58.970001,40.637524,4117500
04/09/2010,59.119999,59.5,59.029999,59.459999,40.975189,6550500
04/12/2010,59.27,59.619999,59.209999,59.34,40.89249,3896600
04/13/2010,59.549999,59.599998,58.709999,59.290001,40.858036,3691100
04/14/2010,59.990002,60.099998,59.669998,60,41.347309,5968200
04/15/2010,60.560001,60.98,60.48,60.57,41.740112,5288500
04/16/2010,60.41,60.5,59.330002,59.880001,41.264618,6216500
04/19/2010,58.860001,59.52,58.810001,59.48,40.988968,5524800
04/20/2010,60.450001,60.700001,60.290001,60.48,41.678085,3790200
04/21/2010,60.189999,60.57,59.84,60.09,41.409332,4079500
04/22/2010,59.139999,59.549999,58.860001,59.549999,41.037212,5332600
04/23/2010,58.849998,59.91,58.75,59.880001,41.264618,5333900
04/26/2010,59.77,59.869999,57.900002,57.91,39.907051,13117800
04/27/2010,56.77,57.720001,56.209999,56.330002,38.818233,18287000
04/28/2010,57.209999,57.689999,56.639999,57.34,39.514252,9568300
04/29/2010,56.389999,56.490002,51.880001,52.560001,36.220245,85065100
04/30/2010,52.43,53.380001,51.360001,52.150002,35.937706,61635600
05/03/2010,49.360001,51.290001,47.349998,50.189999,34.587036,156810500
05/04/2010,50.509998,51.32,48.439999,51.200001,35.283043,55665100
05/05/2010,51,52,50.07,50.990002,35.138336,42225300
05/06/2010,51.380001,51.689999,48.009998,50.330002,34.683514,37343500
05/07/2010,49.75,50.32,48,49.060001,33.808331,24092300
05/10/2010,49.119999,49.889999,48.16,48.75,33.594696,31336500
05/11/2010,48.119999,49.509998,48.049999,48.740002,33.587807,26604300
05/12/2010,48.759998,49.049999,47.860001,48.5,33.422417,23295500
05/13/2010,48.18,49,47.93,48.099998,33.146763,19204200
05/14/2010,47.169998,47.240002,46,46.869999,32.299145,34753500
05/17/2010,47.200001,47.560001,45.41,46.57,32.092403,27485900
05/18/2010,46.77,46.779999,45.27,45.380001,31.272358,20338300
05/19/2010,45.82,46.119999,45,45.27,31.196554,28174100
05/20/2010,45.169998,45.700001,43.959999,44.580002,30.721048,37662200
05/21/2010,43.75,44.459999,43.310001,43.860001,30.22489,28860600
05/24/2010,42.490002,43.040001,41.860001,41.860001,28.846636,32302300
05/25/2010,40.610001,42.599998,40.610001,42.560001,29.329031,33271200
05/26/2010,42.349998,43.27,42.119999,42.41,29.225657,33144000
05/27/2010,45.200001,45.57,44.349998,45.380001,31.272358,55880000
05/28/2010,43.639999,43.84,42.470001,42.950001,29.597788,31854800
06/01/2010,37.34,38.529999,36.200001,36.52,25.166731,120257000
06/02/2010,37.27,38.169998,36.470001,37.66,25.952332,90105900
06/03/2010,38.919998,39.41,37.119999,39.27,27.061813,90373200
06/04/2010,38.5,38.990002,37.060001,37.16,25.607771,62577400
06/07/2010,38.130001,38.150002,36.650002,36.759998,25.332121,44289000
06/08/2010,35.830002,36.119999,34.150002,34.68,23.898745,95404800
06/09/2010,33.959999,34.450001,29,29.200001,20.122362,240808500
06/10/2010,32.16,33.040001,30.889999,32.779999,22.589413,222397900
06/11/2010,34.049999,34.459999,33.25,33.970001,23.409473,132861900
06/14/2010,32.389999,32.599998,30.559999,30.67,21.135368,112737300
06/15/2010,30.58,32.130001,29.85,31.4,21.638432,165557000
06/16/2010,29.9,33,29.58,31.85,21.948534,235447100
06/17/2010,32.200001,32.459999,31.25,31.709999,21.852053,111455800
