Date,Open,High,Low,Close,Adj Close,Volume
01/21/2014,62.5,62.959999,61.790001,62.360001,57.601734,213000
01/22/2014,62.610001,63.529999,62.259998,63.139999,58.322216,259100
01/23/2014,62.68,63.66,62.150002,62.43,57.666389,538900
01/24/2014,61.939999,61.990002,58.439999,59.16,54.645908,484100
01/27/2014,59.16,59.5,55.689999,56.799999,52.465977,691400
01/28/2014,56.939999,57.950001,56.52,57.68,53.278835,559500
01/29/2014,59.77,59.77,55.810001,56.099998,51.819378,548900
01/30/2014,56.889999,56.889999,54.619999,56.27,51.976425,681600
01/31/2014,54.990002,56.880001,54.900002,55.84,51.579239,482600
02/03/2014,55.59,55.84,51.709999,52.529999,48.521793,796400
02/04/2014,52.529999,54.34,51.75,53.18,49.122196,547600
02/05/2014,53.099998,53.799999,52.189999,52.689999,48.669586,570400
02/06/2014,53.02,53.790001,52.740002,52.799999,48.771191,601700
02/07/2014,53.029999,53.779999,52.400002,53.57,49.482433,525500
02/10/2014,53.689999,54.540001,53.400002,54.43,50.276817,489400
02/11/2014,54.43,54.990002,53.580002,54.279999,50.138264,370700
02/12/2014,54.5,55.25,54.459999,55,50.803329,323000
02/13/2014,54.93,56.360001,54.610001,56.279999,51.985653,543300
02/14/2014,56,56,55.110001,55.630001,51.385262,288100
02/18/2014,55.84,57.049999,55.700001,56.830002,52.493694,464900
02/19/2014,56.400002,57.470001,55.73,55.82,51.560757,481200
02/20/2014,56.139999,57.150002,55.380001,56.869999,52.53064,357400
02/21/2014,57.150002,57.310001,56.41,56.810001,52.475212,439200
02/24/2014,56.75,57.790001,56.75,57.349998,52.974007,380100
02/25/2014,57.139999,57.93,56.32,56.650002,52.327427,284200
02/26/2014,56.34,57,55.299999,55.75,51.724361,396100
02/27/2014,55.439999,56.98,55.27,56.860001,52.754208,385700
02/28/2014,56.790001,57.240002,55.369999,55.639999,51.622303,324300
03/03/2014,54.650002,55,54.119999,54.48,50.546059,283600
03/04/2014,55.560001,56.599998,55.400002,56.290001,52.225372,395800
03/05/2014,56.32,56.639999,55.790001,56.5,52.420204,298300
03/06/2014,56.669998,57.369999,56.299999,57.080002,52.958324,257100
03/07/2014,57.560001,58.040001,57.169998,57.740002,53.570667,248500
03/10/2014,57.82,58.799999,57.150002,58.200001,53.997452,340400
03/11/2014,58.16,58.610001,57.240002,57.459999,53.310879,230800
03/12/2014,56.98,57.799999,56.869999,57.68,53.514996,141800
03/13/2014,57.880001,58.27,56.57,57.09,52.967602,250800
03/14/2014,56.779999,57.700001,56.639999,56.939999,52.82843,199300
03/17/2014,57.509998,59.23,57.41,59.130001,54.860298,325800
03/18/2014,59.34,59.84,58.939999,59.810001,55.491188,339100
03/19/2014,58.779999,59.560001,56.919998,57.959999,53.77478,675600
03/20/2014,57.919998,59.02,57.830002,58.759998,54.51701,269900
03/21/2014,59.189999,59.529999,57.700001,57.790001,53.617054,854800
03/24/2014,57.939999,58.23,56.82,57.400002,53.255215,215300
03/25/2014,57.889999,57.91,56.93,57.400002,53.255215,298700
03/26/2014,57.66,57.799999,54.900002,54.950001,50.982121,358400
03/27/2014,54.880001,55,53,53.740002,49.859497,755200
03/28/2014,53.77,54.459999,53.169998,53.52,49.655388,319900
03/31/2014,53.790001,55.450001,53.790001,55.25,51.26046,518400
04/01/2014,55.200001,55.400002,53.900002,55.189999,51.204796,444700
04/02/2014,55.290001,55.669998,54.52,55.490002,51.483139,237400
04/03/2014,55.52,55.75,54.540001,55.27,51.279022,366300
04/04/2014,55.779999,55.779999,53.630001,53.73,49.85022,394100
04/07/2014,53.389999,53.48,51.66,52.349998,48.569859,394100
04/08/2014,52.299999,53.34,52.169998,52.889999,49.070877,362800
04/09/2014,52.900002,53.580002,52.720001,53.450001,49.590443,280300
04/10/2014,53.200001,53.200001,50.720001,50.73,47.066845,431900
04/11/2014,49.990002,49.990002,48.790001,49.110001,45.563828,438700
04/14/2014,49.830002,49.990002,48.700001,49.259998,45.702999,419900
04/15/2014,49.59,50.009998,48.610001,49.369999,45.80505,563200
04/16/2014,49.84,51.16,49.310001,51,47.317348,370600
04/17/2014,51.119999,52.220001,50.93,51.849998,48.105972,231700
04/21/2014,51.720001,51.849998,50.810001,51.66,47.929695,178900
04/22/2014,51.73,53.619999,51.700001,53.080002,49.247158,322100
04/23/2014,51.150002,54.060001,50.450001,53.099998,49.265705,960900
04/24/2014,53,54.900002,52.080002,53.950001,50.054344,1032400
04/25/2014,53.349998,53.619999,52.299999,52.48,48.690475,501700
04/28/2014,52.040001,53.23,51.59,52.09,48.328644,608500
04/29/2014,52.299999,52.990002,51.779999,51.830002,48.087421,520100
04/30/2014,51.720001,53.52,51.32,53.43,49.571892,405000
05/01/2014,53.150002,54.869999,52.849998,54.82,50.861507,568300
05/02/2014,55.869999,56.27,55.27,56.130001,52.076927,649100
