Date,Open,High,Low,Close,Adj Close,Volume
1/21/2011,2.92,2.96,2.88,2.88,2.88,102900
1/24/2011,2.88,2.95,2.85,2.88,2.88,204000
1/25/2011,2.85,2.95,2.85,2.94,2.94,89500
1/26/2011,2.92,2.92,2.82,2.86,2.86,77500
1/27/2011,2.88,2.92,2.87,2.89,2.89,119300
1/28/2011,2.9,2.93,2.71,2.93,2.93,154100
1/31/2011,2.93,2.93,2.83,2.86,2.86,45400
2/1/2011,2.88,2.88,2.74,2.76,2.76,96300
2/2/2011,2.75,2.81,2.71,2.77,2.77,66100
2/3/2011,2.75,2.81,2.74,2.78,2.78,37800
2/4/2011,2.77,2.77,2.7,2.77,2.77,41700
2/7/2011,2.79,2.8,2.71,2.74,2.74,43800
2/8/2011,2.75,2.75,2.67,2.7,2.7,51700
2/9/2011,2.72,2.73,2.62,2.67,2.67,77800
2/10/2011,2.67,2.67,2.61,2.64,2.64,55600
2/11/2011,2.64,2.69,2.64,2.66,2.66,62100
2/14/2011,2.65,2.67,2.64,2.67,2.67,49800
2/15/2011,2.67,2.77,2.65,2.7,2.7,55200
2/16/2011,2.75,2.81,2.68,2.78,2.78,141300
2/17/2011,2.79,2.84,2.74,2.74,2.74,65100
2/18/2011,2.73,2.75,2.7,2.75,2.75,47200
2/22/2011,2.79,2.79,2.65,2.65,2.65,63100
2/23/2011,2.67,2.67,2.59,2.64,2.64,93100
2/24/2011,2.84,2.84,2.61,2.71,2.71,63300
2/25/2011,2.74,2.74,2.59,2.61,2.61,138200
2/28/2011,2.6,2.66,2.58,2.58,2.58,60200
3/1/2011,2.61,2.64,2.55,2.58,2.58,58600
3/2/2011,2.57,2.57,2.31,2.31,2.31,198700
3/3/2011,2.3,2.41,2.3,2.37,2.37,84900
3/4/2011,2.4,2.49,2.35,2.41,2.41,63500
3/7/2011,2.45,2.45,2.32,2.35,2.35,70700
3/8/2011,2.3,2.38,2.27,2.36,2.36,46600
3/9/2011,2.37,2.51,2.34,2.4,2.4,71300
3/10/2011,2.42,2.5,2.4,2.45,2.45,89100
3/11/2011,2.45,2.47,2.4,2.42,2.42,26600
3/14/2011,2.38,2.43,2.38,2.4,2.4,55000
3/15/2011,2.36,2.4,2.32,2.34,2.34,79800
3/16/2011,2.39,2.39,2.28,2.31,2.31,36700
3/17/2011,2.33,2.35,2.3,2.32,2.32,50400
3/18/2011,2.34,2.39,2.3,2.38,2.38,49300
3/21/2011,2.37,2.49,2.37,2.42,2.42,138200
3/22/2011,2.44,2.5,2.42,2.48,2.48,75200
3/23/2011,2.5,2.5,2.39,2.39,2.39,41900
3/24/2011,2.44,2.47,2.42,2.46,2.46,52300
3/25/2011,2.45,2.62,2.4,2.48,2.48,140300
3/28/2011,2.5,2.52,2.47,2.5,2.5,27000
3/29/2011,2.53,2.57,2.46,2.47,2.47,62300
3/30/2011,2.53,2.68,2.53,2.57,2.57,81300
3/31/2011,2.59,2.73,2.45,2.57,2.57,127500
4/1/2011,2.6,2.78,2.6,2.76,2.76,144900
4/4/2011,2.79,2.86,2.7,2.82,2.82,61100
4/5/2011,2.81,2.83,2.73,2.76,2.76,81600
4/6/2011,2.78,2.84,2.64,2.84,2.84,109600
4/7/2011,2.85,2.85,2.72,2.8,2.8,51700
4/8/2011,2.79,2.8,2.71,2.76,2.76,46800
4/11/2011,2.78,2.88,2.66,2.88,2.88,77900
4/12/2011,2.83,2.85,2.75,2.75,2.75,39600
4/13/2011,3.1,4.18,3.05,3.68,3.68,3842100
4/14/2011,3.39,3.88,3.38,3.8,3.8,570700
4/15/2011,3.78,3.92,3.65,3.85,3.85,265900
4/18/2011,3.84,4.05,3.74,3.98,3.98,247700
4/19/2011,4.01,4.11,3.85,3.95,3.95,224800
4/20/2011,3.98,4.05,3.9,4,4,117700
4/21/2011,4.21,4.28,3.99,4.11,4.11,479100
4/25/2011,4.25,4.28,4.05,4.22,4.22,199200
4/26/2011,4.24,4.25,4.06,4.15,4.15,201800
4/27/2011,4.16,4.27,4.08,4.26,4.26,127800
4/28/2011,4.25,4.28,4.18,4.23,4.23,69600
4/29/2011,4.23,4.27,4.16,4.26,4.26,148000
5/2/2011,4.28,4.92,4.26,4.75,4.75,832800
5/3/2011,4.62,5.15,4.52,4.98,4.98,739800
5/4/2011,5.01,5.26,4.83,5.17,5.17,656100
5/5/2011,5.19,5.38,5.06,5.29,5.29,404100
5/6/2011,5.35,5.6,5.2,5.4,5.4,477000
5/9/2011,5.57,5.72,4.76,5.13,5.13,768700
5/10/2011,5.38,5.81,5.33,5.58,5.58,816400
5/11/2011,5.73,5.73,5.31,5.46,5.46,345500
5/12/2011,5.43,5.85,5.27,5.81,5.81,287100
5/13/2011,5.85,6.13,5.59,6,6,455400
5/16/2011,6.14,6.26,5.9,6.02,6.02,397500
5/17/2011,5.99,6.04,5.7,5.99,5.99,342800
5/18/2011,6.03,6.03,5.9,6,6,168800
5/19/2011,6,6.03,5.65,5.98,5.98,253400
5/20/2011,5.92,5.98,5.66,5.73,5.73,266800
5/23/2011,5.61,5.62,5.16,5.31,5.31,425900
5/24/2011,5.35,5.7,5.25,5.52,5.52,288000
5/25/2011,5.48,5.76,5.3,5.67,5.67,136200
5/26/2011,5.64,5.96,5.6,5.85,5.85,145200
5/27/2011,5.88,5.95,5.72,5.72,5.72,190700
5/31/2011,5.77,5.9,5.55,5.89,5.89,204700
6/1/2011,5.87,5.94,5.72,5.86,5.86,177200
6/2/2011,5.85,6.1,5.77,6.06,6.06,285500
6/3/2011,6,6.2,5.84,5.89,5.89,226200
6/6/2011,5.91,6.35,5.86,6,6,360800
6/7/2011,6.01,6.33,5.96,6.27,6.27,252900
6/8/2011,6.25,6.75,6.23,6.57,6.57,426800
6/9/2011,6.75,6.86,6.29,6.3,6.3,468800
6/10/2011,6.25,6.37,5.97,6.06,6.06,310200
6/13/2011,6.12,6.31,5.62,5.66,5.66,318700
6/14/2011,5.69,5.81,5.38,5.51,5.51,380200
6/15/2011,5.48,5.6,5.37,5.55,5.55,250700
6/16/2011,5.53,5.63,5.35,5.45,5.45,160100
6/17/2011,5.48,5.52,5.24,5.25,5.25,154100
6/20/2011,5.24,6.08,5.2,5.83,5.83,354400
6/21/2011,5.81,5.81,5.24,5.37,5.37,370400
6/22/2011,5.39,5.43,5.2,5.23,5.23,270800
6/23/2011,4.83,4.9,4.56,4.63,4.63,3809300
6/24/2011,4.71,4.78,4.49,4.77,4.77,2954800
6/27/2011,4.39,4.63,4.26,4.53,4.53,869800
6/28/2011,4.55,4.73,4.55,4.7,4.7,311800
6/29/2011,4.79,4.79,4.58,4.71,4.71,358000
6/30/2011,4.74,4.79,4.7,4.79,4.79,348100
