Date,Open,High,Low,Close,Adj Close,Volume
12/23/2013,8.48,8.57,8.25,8.33,8.33,1173400
12/24/2013,8.31,8.51,8.31,8.45,8.45,456800
12/26/2013,8.46,8.61,8.46,8.61,8.61,908200
12/27/2013,8.66,8.9,8.63,8.82,8.82,538000
12/30/2013,8.86,8.95,8.78,8.88,8.88,820200
12/31/2013,8.83,8.95,8.8,8.85,8.85,617700
01/02/2014,8.84,8.91,8.55,8.79,8.79,1143500
01/03/2014,8.79,8.89,8.47,8.48,8.48,743300
01/06/2014,8.5,8.59,8.28,8.34,8.34,1039400
01/07/2014,8.35,8.45,8.2,8.44,8.44,1357200
01/08/2014,8.47,8.64,8.39,8.48,8.48,725900
01/09/2014,8.54,8.6,8.45,8.54,8.54,727400
01/10/2014,8.56,8.79,8.5,8.78,8.78,1077400
01/13/2014,8.8,8.94,8.74,8.9,8.9,2058300
01/14/2014,8.9,9.04,8.9,9,9,1027300
01/15/2014,9.02,9.37,8.87,9.26,9.26,1339700
01/16/2014,9.29,9.86,9.18,9.82,9.82,1805200
01/17/2014,9.86,9.91,9.76,9.88,9.88,792200
01/21/2014,9.9,10.25,9.8,10.16,10.16,1467600
01/22/2014,10.13,10.25,10.03,10.14,10.14,744000
01/23/2014,10.14,10.32,10.09,10.24,10.24,1012600
01/24/2014,10.14,10.16,9.55,9.56,9.56,1112200
01/27/2014,9.55,9.57,8.53,8.82,8.82,1141200
01/28/2014,8.83,8.93,8.59,8.74,8.74,608900
01/29/2014,8.69,8.88,8.45,8.53,8.53,1029400
01/30/2014,8.63,8.81,8.46,8.61,8.61,487700
01/31/2014,8.47,8.65,8.33,8.41,8.41,712100
02/03/2014,8.39,8.42,8.09,8.14,8.14,751700
02/04/2014,8.19,8.36,8,8.05,8.05,662800
02/05/2014,8.01,8.12,7.78,7.79,7.79,544100
02/06/2014,8.38,8.39,7.92,7.97,7.97,933200
02/07/2014,8,8.25,7.97,8.19,8.19,962000
02/10/2014,8.21,8.24,8.08,8.19,8.19,427900
02/11/2014,8.16,8.3,8.12,8.14,8.14,1365200
02/12/2014,8.11,8.21,8,8.09,8.09,452300
02/13/2014,8.03,8.27,8.03,8.25,8.25,312900
02/14/2014,8.21,8.4,8.12,8.14,8.14,385800
02/18/2014,8.19,8.57,8.19,8.54,8.54,456800
02/19/2014,8.55,8.72,8.45,8.47,8.47,504800
02/20/2014,8.51,8.72,8.45,8.68,8.68,317200
02/21/2014,8.74,8.75,8.57,8.64,8.64,763800
02/24/2014,8.68,8.84,8.55,8.75,8.75,487300
02/25/2014,8.75,8.79,8.57,8.62,8.62,529100
02/26/2014,8.65,8.78,8.58,8.68,8.68,414500
02/27/2014,8.65,8.92,8.55,8.85,8.85,333900
02/28/2014,8.81,8.99,8.26,8.35,8.35,812300
03/03/2014,8.24,8.37,8.01,8.33,8.33,678200
03/04/2014,8.45,8.66,8.35,8.42,8.42,1018600
03/05/2014,8.42,8.48,8.3,8.36,8.36,381600
03/06/2014,8.46,8.46,8.16,8.17,8.17,1473000
03/07/2014,8.05,8.22,7.65,7.87,7.87,2109200
03/10/2014,7.83,7.96,7.66,7.91,7.91,794500
03/11/2014,7.92,8.09,7.9,8.04,8.04,901700
03/12/2014,8,8.13,7.97,8.12,8.12,721900
03/13/2014,8.12,8.2,7.94,8.02,8.02,908200
03/14/2014,8,8.08,7.91,7.99,7.99,607600
03/17/2014,8.03,8.15,7.77,7.78,7.78,1644700
03/18/2014,7.79,8.15,7.79,8.15,8.15,567100
03/19/2014,8.12,8.2,7.99,8.08,8.08,418700
03/20/2014,8.07,8.1,7.97,8,8,425900
03/21/2014,8.07,8.14,7.71,7.74,7.74,3679700
03/24/2014,7.8,7.84,7.45,7.78,7.78,945000
03/25/2014,7.85,7.91,7.56,7.72,7.72,870900
03/26/2014,7.81,7.95,7.75,7.9,7.9,1200300
03/27/2014,7.9,7.97,7.67,7.8,7.8,751500
03/28/2014,7.78,7.89,7.69,7.77,7.77,679100
03/31/2014,7.8,7.95,7.72,7.84,7.84,890500
04/01/2014,7.88,8.1,7.83,7.93,7.93,1221900
04/02/2014,7.95,8.02,7.8,7.81,7.81,477100
04/03/2014,7.81,7.84,7.45,7.62,7.62,999800
04/04/2014,7.7,7.74,6.96,7.2,7.2,1846900
04/07/2014,7.18,7.51,7.06,7.27,7.27,868800
04/08/2014,7.3,7.5,7.06,7.32,7.32,968600
04/09/2014,7.32,7.75,7.32,7.71,7.71,776200
04/10/2014,7.71,7.71,7.07,7.16,7.16,1358300
04/11/2014,7.08,7.3,6.79,6.79,6.79,1231300
04/14/2014,6.88,6.98,6.53,6.77,6.77,680000
04/15/2014,6.77,6.93,6.36,6.7,6.7,943700
04/16/2014,6.75,6.95,6.7,6.88,6.88,449700
04/17/2014,6.86,6.97,6.73,6.74,6.74,363900
04/21/2014,6.75,6.77,6.57,6.69,6.69,975900
04/22/2014,6.69,7.02,6.68,6.9,6.9,881200
04/23/2014,7.25,7.56,6.95,7.18,7.18,3079800
04/24/2014,7.2,7.38,6.96,7.22,7.22,891000
04/25/2014,7.17,7.22,6.75,6.77,6.77,1056100
04/28/2014,6.81,6.91,6.49,6.72,6.72,756700
04/29/2014,6.78,6.97,6.72,6.91,6.91,691800
04/30/2014,6.86,6.91,6.72,6.87,6.87,558800
05/01/2014,6.84,7.01,6.68,6.95,6.95,783800
05/02/2014,6.98,7,6.84,6.89,6.89,415200
05/05/2014,6.85,7.26,6.82,7.11,7.11,510800
05/06/2014,7.11,7.17,6.99,7.02,7.02,517100
05/07/2014,7.02,7.11,6.77,6.95,6.95,720900
05/08/2014,6.94,7.02,6.52,6.65,6.65,685300
05/09/2014,6.69,7.33,6.5,7.3,7.3,1452100
05/12/2014,7.33,7.64,7.32,7.59,7.59,1141800
05/13/2014,7.57,7.72,7.46,7.47,7.47,714200
05/14/2014,7.48,7.97,7.33,7.62,7.62,1359600
05/15/2014,7.59,7.81,7.28,7.75,7.75,1136100
05/16/2014,7.8,7.88,7.41,7.51,7.51,859700
05/19/2014,7.52,7.68,7.47,7.67,7.67,554000
05/20/2014,7.67,7.75,7.44,7.51,7.51,879600
05/21/2014,7.55,7.68,7.41,7.55,7.55,527700
05/22/2014,7.59,7.65,7.45,7.46,7.46,426000
05/23/2014,7.5,7.5,7.36,7.41,7.41,371800
05/27/2014,7.59,7.94,7.59,7.92,7.92,849500
05/28/2014,7.94,8.08,7.74,7.81,7.81,619300
05/29/2014,7.89,8,7.78,7.85,7.85,354800
05/30/2014,7.88,7.95,7.7,7.79,7.79,604700
06/02/2014,7.85,8.04,7.55,7.73,7.73,684400
06/03/2014,7.69,7.91,7.62,7.89,7.89,426800
06/04/2014,7.85,7.91,7.69,7.84,7.84,314200
06/05/2014,7.83,8.07,7.78,8,8,747000
06/06/2014,8.07,8.09,7.9,8,8,517400
06/09/2014,8.04,8.53,7.97,8.51,8.51,1311100
06/10/2014,8.5,8.71,8.44,8.65,8.65,794400
06/11/2014,8.58,8.88,8.52,8.57,8.57,762600
06/12/2014,8.59,8.73,8.38,8.42,8.42,422800
06/13/2014,8.44,8.61,8.32,8.55,8.55,367900
06/16/2014,8.51,8.68,8.38,8.68,8.68,536300
06/17/2014,8.64,8.78,8.5,8.63,8.63,513900
06/18/2014,8.61,8.64,8.23,8.44,8.44,1367600
06/19/2014,8.49,8.49,8.26,8.29,8.29,760100
06/20/2014,8.33,8.33,8.03,8.15,8.15,3661700
06/23/2014,8.3,8.47,8.23,8.25,8.25,1233400
06/24/2014,8.27,8.34,8.19,8.2,8.2,709600
06/25/2014,8.17,8.28,7.98,8.18,8.18,1012800
06/26/2014,8.22,8.22,7.91,7.94,7.94,1194900
06/27/2014,7.92,8.02,7.8,8.01,8.01,1466800
06/30/2014,8,8.3,7.99,8.13,8.13,1024300
07/01/2014,8.21,8.47,8.15,8.46,8.46,1045300
07/02/2014,8.47,8.78,8.45,8.72,8.72,1387600
07/03/2014,8.75,9.27,8.65,8.9,8.9,3068700
07/07/2014,9.04,9.19,8.58,8.63,8.63,3185800
07/08/2014,8.61,8.62,8.24,8.26,8.26,2179000
07/09/2014,8.32,8.4,8.11,8.38,8.38,1369300
07/10/2014,8.07,8.14,7.88,7.9,7.9,1315700
07/11/2014,7.9,7.97,7.75,7.91,7.91,1485700
07/14/2014,7.99,7.99,7.73,7.76,7.76,734000
07/15/2014,7.85,7.88,7.35,7.41,7.41,1758500
07/16/2014,7.47,7.57,7.27,7.33,7.33,1201000
07/17/2014,7.26,7.38,6.97,7.03,7.03,1057000
07/18/2014,7.02,7.3,7.01,7.21,7.21,1047100
07/21/2014,7.18,7.18,6.99,7.08,7.08,704700
07/22/2014,7.1,7.25,7.04,7.06,7.06,498000
07/23/2014,7.08,7.24,7,7.12,7.12,1013200
07/24/2014,7.13,7.24,7.03,7.1,7.1,642600
07/25/2014,7.06,7.16,6.95,7.05,7.05,655100
07/28/2014,7.08,7.08,6.76,6.89,6.89,748800
07/29/2014,6.94,7.05,6.86,6.95,6.95,455300
07/30/2014,7.03,7.23,7,7.2,7.2,639600
07/31/2014,7.12,7.17,6.94,7.04,7.04,689700
08/01/2014,7.02,7.11,6.75,6.91,6.91,883900
08/04/2014,6.98,7.06,6.83,6.98,6.98,842200
08/05/2014,6.93,7.05,6.84,7.04,7.04,819400
08/06/2014,7.04,7.34,7.03,7.3,7.3,964500
08/07/2014,7.74,7.74,7.17,7.24,7.24,1032000
08/08/2014,7.74,7.74,7.4,7.67,7.67,1734300
08/11/2014,7.72,7.85,7.64,7.78,7.78,1159400
08/12/2014,7.74,8.08,7.73,7.98,7.98,1266200
08/13/2014,8.07,8.15,7.96,8,8,1138200
08/14/2014,8.01,8.09,7.97,8.06,8.06,796400
08/15/2014,8.12,8.17,7.95,8.04,8.04,698900
08/18/2014,8.14,8.2,8.1,8.16,8.16,785700
08/19/2014,8.22,8.27,8.05,8.09,8.09,725500
08/20/2014,8.06,8.13,7.74,7.75,7.75,974200
08/21/2014,7.84,7.84,7.34,7.51,7.51,2352100
08/22/2014,7.48,7.91,7.42,7.91,7.91,883300
08/25/2014,7.95,8.11,7.93,7.99,7.99,957100
08/26/2014,7.95,8.21,7.86,8.15,8.15,1217300
08/27/2014,8.14,8.22,8.03,8.11,8.11,571700
08/28/2014,8.08,8.14,7.94,7.97,7.97,672200
08/29/2014,7.99,8.12,7.96,8.11,8.11,457300
09/02/2014,8.13,8.17,7.98,8.02,8.02,870200
09/03/2014,8.17,8.2,8,8.03,8.03,704200
09/04/2014,8.24,8.24,8,8.03,8.03,786100
09/05/2014,8.01,8.04,7.81,7.99,7.99,660500
09/08/2014,7.98,8.12,7.93,8.11,8.11,555400
09/09/2014,8.2,8.23,8.02,8.03,8.03,748100
09/10/2014,8.07,8.27,7.99,8.27,8.27,922700
09/11/2014,8.23,8.47,8.15,8.47,8.47,831200
09/12/2014,8.44,8.5,8.17,8.26,8.26,666600
09/15/2014,8.24,8.24,8.03,8.07,8.07,505700
09/16/2014,8.03,8.06,7.82,8.01,8.01,737800
09/17/2014,7.99,8.12,7.82,8.02,8.02,533700
09/18/2014,8.07,8.23,8.04,8.13,8.13,556700
09/19/2014,8.19,8.33,7.95,8.14,8.14,2101300
09/22/2014,8.11,8.14,7.95,8.06,8.06,560800
09/23/2014,8.04,8.15,7.93,7.99,7.99,556200
09/24/2014,8,8.25,8,8.24,8.24,468500
09/25/2014,8.22,8.28,8,8.17,8.17,601300
09/26/2014,8.18,8.26,8.13,8.25,8.25,443300
09/29/2014,8.14,8.32,8.05,8.25,8.25,366100
09/30/2014,8.25,8.34,8.14,8.14,8.14,798800
10/01/2014,8.11,8.27,8.01,8.09,8.09,693900
10/02/2014,8.07,8.34,8.01,8.19,8.19,765200
10/03/2014,8.33,8.34,8.11,8.24,8.24,567900
10/06/2014,8.24,8.27,7.87,7.93,7.93,1127400
10/07/2014,7.89,7.89,7.62,7.64,7.64,952100
10/08/2014,7.62,7.64,7.41,7.55,7.55,1255600
10/09/2014,7.52,7.55,7.23,7.35,7.35,1418000
10/10/2014,7.29,7.51,7.21,7.33,7.33,1000600
10/13/2014,7.31,7.44,7.15,7.23,7.23,1204400
10/14/2014,7.31,7.37,7.02,7.25,7.25,1262300
10/15/2014,7.16,7.34,7.06,7.31,7.31,1099700
10/16/2014,7.24,7.68,7.18,7.55,7.55,992800
10/17/2014,7.7,7.7,7.33,7.4,7.4,877900
10/20/2014,7.37,7.59,7.37,7.49,7.49,518900
10/21/2014,7.54,7.65,7.44,7.62,7.62,591900
10/22/2014,7.62,7.68,7.43,7.43,7.43,542500
10/23/2014,7.51,7.85,7.49,7.81,7.81,1043300
10/24/2014,7.81,7.9,7.7,7.7,7.7,491100
10/27/2014,7.66,7.68,7.39,7.4,7.4,625500
10/28/2014,7.43,7.66,7.34,7.65,7.65,691200
10/29/2014,7.66,7.71,7.2,7.5,7.5,1030300
10/30/2014,7.44,7.75,7.44,7.65,7.65,945200
10/31/2014,7.79,7.9,7.46,7.58,7.58,843900
11/03/2014,7.58,7.72,7.45,7.52,7.52,774800
11/04/2014,7.46,7.57,7.43,7.52,7.52,512900
11/05/2014,7.58,7.58,7.27,7.33,7.33,692400
11/06/2014,7.35,7.48,7.34,7.48,7.48,718200
11/07/2014,7.5,7.67,7.21,7.33,7.33,753300
11/10/2014,7.32,7.53,7.25,7.52,7.52,542600
11/11/2014,7.52,7.6,7.37,7.39,7.39,686500
11/12/2014,7.34,7.5,7.29,7.45,7.45,539500
11/13/2014,7.43,7.49,7.22,7.25,7.25,507200
11/14/2014,7.24,7.29,7.13,7.21,7.21,648500
11/17/2014,7.21,7.42,7.21,7.39,7.39,457700
11/18/2014,7.4,7.53,7.38,7.39,7.39,412600
11/19/2014,7.4,7.4,7.16,7.22,7.22,631400
11/20/2014,7.17,7.32,7.15,7.31,7.31,511800
11/21/2014,7.44,7.44,7.21,7.25,7.25,373700
11/24/2014,7.23,7.48,7.21,7.38,7.38,415100
11/25/2014,7.43,7.46,7.32,7.36,7.36,505100
11/26/2014,7.35,7.43,7.32,7.38,7.38,380000
11/28/2014,7.41,7.44,7.2,7.21,7.21,342100
12/01/2014,7.25,7.35,7.1,7.16,7.16,705000
12/02/2014,7.2,7.31,7.14,7.29,7.29,493600
12/03/2014,7.28,7.34,7.12,7.3,7.3,407500
12/04/2014,7.26,7.35,7.18,7.2,7.2,589500
12/05/2014,7.2,7.37,7.18,7.24,7.24,842800
12/08/2014,7.21,7.35,7.19,7.22,7.22,533600
12/09/2014,7.15,7.4,7.13,7.32,7.32,888500
12/10/2014,7.38,7.45,7.21,7.21,7.21,438300
12/11/2014,7.21,7.39,7.13,7.17,7.17,494700
12/12/2014,7.06,7.29,7.06,7.1,7.1,521600
12/15/2014,7.07,7.13,6.92,6.99,6.99,836500
12/16/2014,6.94,7.18,6.9,6.96,6.96,612000
12/17/2014,6.97,7.09,6.94,7.09,7.09,1241600
12/18/2014,7.17,7.29,7.07,7.24,7.24,665600
12/19/2014,7.22,7.26,7.1,7.17,7.17,2917600
12/22/2014,7.15,7.21,6.95,6.97,6.97,605500
12/23/2014,7.01,7.05,6.75,6.75,6.75,1106900
12/24/2014,6.8,6.96,6.76,6.9,6.9,292600
12/26/2014,7,7.08,6.94,6.97,6.97,545700
12/29/2014,6.98,7.09,6.84,6.86,6.86,705900
12/30/2014,6.81,6.92,6.78,6.79,6.79,732500
12/31/2014,6.79,7.1,6.79,6.93,6.93,1201500
01/02/2015,7.11,7.24,6.99,7.15,7.15,1037400
01/05/2015,7.11,7.33,7.04,7.24,7.24,718800
01/06/2015,7.29,7.33,7,7.07,7.07,737500
01/07/2015,7.12,7.28,7.05,7.16,7.16,841600
01/08/2015,7.25,7.25,7.08,7.1,7.1,654100
01/09/2015,7.12,7.12,6.95,7.02,7.02,802300
01/12/2015,7.05,7.1,6.86,7.01,7.01,704600
