Date,Open,High,Low,Close,Adj Close,Volume,Returns,Volume_Change,Price_Range,Price_Change,Log_Volume,MA_5,MA_20,Volume_MA_5,Volume_MA_20,Volatility_5,Volatility_20,Ticker,ArticleCount,Tone,Polarity,WordCount,ArticleCount_MA_3,ArticleCount_Sum_3,ArticleCount_Max_3,ArticleCount_Std_3,Tone_MA_3,Tone_Min_3,Tone_Max_3,Tone_Std_3,Polarity_MA_3,WordCount_MA_3,WordCount_Sum_3,ArticleCount_MA_7,ArticleCount_Sum_7,ArticleCount_Max_7,ArticleCount_Std_7,Tone_MA_7,Tone_Min_7,Tone_Max_7,Tone_Std_7,Polarity_MA_7,WordCount_MA_7,WordCount_Sum_7,ArticleCount_MA_14,ArticleCount_Sum_14,ArticleCount_Max_14,ArticleCount_Std_14,Tone_MA_14,Tone_Min_14,Tone_Max_14,Tone_Std_14,Polarity_MA_14,WordCount_MA_14,WordCount_Sum_14,ArticleCount_MA_30,ArticleCount_Sum_30,ArticleCount_Max_30,ArticleCount_Std_30,Tone_MA_30,Tone_Min_30,Tone_Max_30,Tone_Std_30,Polarity_MA_30,WordCount_MA_30,WordCount_Sum_30,High_Coverage,Negative_Tone,Very_Negative_Tone,High_Polarity,Days_Since_Coverage,ArticleCount_Lag_1,ArticleCount_Lag_2,ArticleCount_Lag_3,ArticleCount_Lag_5,ArticleCount_Lag_7,Tone_Lag_1,Tone_Lag_2,Tone_Lag_3,Tone_Lag_5,Tone_Lag_7,Polarity_Lag_1,Polarity_Lag_2,Polarity_Lag_3,Polarity_Lag_5,Polarity_Lag_7,WordCount_Lag_1,WordCount_Lag_2,WordCount_Lag_3,WordCount_Lag_5,WordCount_Lag_7,High_Coverage_Lag_1,High_Coverage_Lag_2,High_Coverage_Lag_3,High_Coverage_Lag_5,High_Coverage_Lag_7,Negative_Tone_Lag_1,Negative_Tone_Lag_2,Negative_Tone_Lag_3,Negative_Tone_Lag_5,Negative_Tone_Lag_7,Very_Negative_Tone_Lag_1,Very_Negative_Tone_Lag_2,Very_Negative_Tone_Lag_3,Very_Negative_Tone_Lag_5,Very_Negative_Tone_Lag_7,Returns_Lag_1,Returns_Lag_2,Returns_Lag_3,Returns_Lag_5,Returns_Lag_7,Volume_Change_Lag_1,Volume_Change_Lag_2,Volume_Change_Lag_3,Volume_Change_Lag_5,Volume_Change_Lag_7,Volatility_5_Lag_1,Volatility_5_Lag_2,Volatility_5_Lag_3,Volatility_5_Lag_5,Volatility_5_Lag_7,Price_Range_Lag_1,Price_Range_Lag_2,Price_Range_Lag_3,Price_Range_Lag_5,Price_Range_Lag_7,Volume_Spike,Price_Drop,Major_Event,Pre_Event_Window,Event_Day,Post_Event_Window
2011-03-14,234.800003,239.600006,217.0,231.899994,231.899994,377700,-0.04489295249308545,1.90315142198309,0.09745582830847338,-0.012350975140319787,12.841858156300962,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.05354200922312179,,,,,1,0,0,1,0,0
2011-03-15,223.899994,239.600006,219.699997,232.600006,232.600006,200000,0.0030185942997480453,-0.47047921630924017,0.08555463665809196,0.03885668706181392,12.206077645517674,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,-0.04489295249308545,,,,,1.90315142198309,,,,,,,,,,0.09745582830847338,0.05354200922312179,,,,0,0,0,1,0,0
2011-03-16,233.600006,236.699997,228.199997,236.300003,236.300003,149200,0.015907123407382873,-0.254,0.035971222564901956,0.011558206038744691,11.913049669142206,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0030185942997480453,-0.04489295249308545,,,,-0.47047921630924017,1.90315142198309,,,,,,,,,0.08555463665809196,0.09745582830847338,0.05354200922312179,,,0,0,0,1,0,0
2011-03-17,241.100006,244.100006,230.0,232.399994,232.399994,148300,-0.016504481381661273,-0.0060321715817693855,0.060671283838329225,-0.03608466106798859,11.906999271191623,235.2,,201060.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.015907123407382873,0.0030185942997480453,-0.04489295249308545,,,-0.254,-0.47047921630924017,1.90315142198309,,,,,,,,0.035971222564901956,0.08555463665809196,0.09745582830847338,,,0,0,0,1,0,0
2011-03-18,234.800003,235.0,226.0,228.399994,228.399994,169200,-0.017211704403056083,0.1409305461901551,0.03940455445020721,-0.02725727818666174,12.03884263630228,232.31999820000001,,208880.0,0.0,0.02309623457472695,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-0.016504481381661273,0.015907123407382873,0.0030185942997480453,,,-0.0060321715817693855,-0.254,-0.47047921630924017,,,,,,,,0.060671283838329225,0.035971222564901956,0.08555463665809196,0.05354200922312179,,0,0,0,1,0,0
2011-03-21,232.699997,236.600006,231.300003,236.300003,236.300003,129200,0.034588481644180824,-0.2364066193853428,0.022429127942076257,0.015470588940317036,11.769124610238766,233.2,,159180.0,0.0,0.022072380676952285,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,-0.017211704403056083,-0.016504481381661273,0.015907123407382873,-0.04489295249308545,,0.1409305461901551,-0.0060321715817693855,-0.254,1.90315142198309,,0.02309623457472695,,,,,0.03940455445020721,0.060671283838329225,0.035971222564901956,0.09745582830847338,,0,0,0,1,0,0
2011-03-22,239.0,239.399994,229.899994,233.399994,233.399994,77800,-0.012272572844614027,-0.39783281733746134,0.040702657430231125,-0.023430987447698778,11.261909563554315,233.35999759999999,,134740.0,0.0,0.023262598860482923,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034588481644180824,-0.017211704403056083,-0.016504481381661273,0.0030185942997480453,,-0.2364066193853428,0.1409305461901551,-0.0060321715817693855,-0.47047921630924017,,0.022072380676952285,0.02309623457472695,,,,0.022429127942076257,0.03940455445020721,0.060671283838329225,0.08555463665809196,0.05354200922312179,0,0,0,1,0,0
2011-03-23,233.100006,236.199997,230.100006,234.800003,234.800003,87400,0.0059983249185515675,0.12339331619537286,0.025979518407416666,0.007292994235272547,11.37826200322577,233.0599976,,122380.0,0.0,0.022055404470415665,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012272572844614027,0.034588481644180824,-0.017211704403056083,0.015907123407382873,-0.04489295249308545,-0.39783281733746134,-0.2364066193853428,0.1409305461901551,-0.254,1.90315142198309,0.023262598860482923,0.022072380676952285,0.02309623457472695,,,0.040702657430231125,0.022429127942076257,0.03940455445020721,0.035971222564901956,0.09745582830847338,0,0,0,1,0,0
2011-03-24,237.0,238.0,232.600006,235.899994,235.899994,47200,0.004684799769785197,-0.45995423340961095,0.02289103067972097,-0.004641375527426193,10.762170357789895,233.7599976,,102160.0,0.0,0.0203181026053075,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059983249185515675,-0.012272572844614027,0.034588481644180824,-0.016504481381661273,0.0030185942997480453,0.12339331619537286,-0.39783281733746134,-0.2364066193853428,-0.0060321715817693855,-0.47047921630924017,0.022055404470415665,0.023262598860482923,0.022072380676952285,,,0.025979518407416666,0.040702657430231125,0.022429127942076257,0.060671283838329225,0.08555463665809196,0,0,0,1,0,0
2011-03-25,239.0,244.600006,238.199997,240.399994,240.399994,78300,0.01907588009518979,0.6588983050847457,0.026622334275099906,0.005857715481171516,11.268315653289422,236.1599976,,83980.0,0.0,0.017510255808071577,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004684799769785197,0.0059983249185515675,-0.012272572844614027,-0.017211704403056083,0.015907123407382873,-0.45995423340961095,0.12339331619537286,-0.39783281733746134,0.1409305461901551,-0.254,0.0203181026053075,0.022055404470415665,0.023262598860482923,0.02309623457472695,,0.02289103067972097,0.025979518407416666,0.040702657430231125,0.03940455445020721,0.035971222564901956,0,0,0,1,0,0
