Date,Open,High,Low,Close,Adj Close,Volume,Returns,Volume_Change,Price_Range,Price_Change,Log_Volume,MA_5,MA_20,Volume_MA_5,Volume_MA_20,Volatility_5,Volatility_20,Ticker,ArticleCount,Tone,Polarity,WordCount,ArticleCount_MA_3,ArticleCount_Sum_3,ArticleCount_Max_3,ArticleCount_Std_3,Tone_MA_3,Tone_Min_3,Tone_Max_3,Tone_Std_3,Polarity_MA_3,WordCount_MA_3,WordCount_Sum_3,ArticleCount_MA_7,ArticleCount_Sum_7,ArticleCount_Max_7,ArticleCount_Std_7,Tone_MA_7,Tone_Min_7,Tone_Max_7,Tone_Std_7,Polarity_MA_7,WordCount_MA_7,WordCount_Sum_7,ArticleCount_MA_14,ArticleCount_Sum_14,ArticleCount_Max_14,ArticleCount_Std_14,Tone_MA_14,Tone_Min_14,Tone_Max_14,Tone_Std_14,Polarity_MA_14,WordCount_MA_14,WordCount_Sum_14,ArticleCount_MA_30,ArticleCount_Sum_30,ArticleCount_Max_30,ArticleCount_Std_30,Tone_MA_30,Tone_Min_30,Tone_Max_30,Tone_Std_30,Polarity_MA_30,WordCount_MA_30,WordCount_Sum_30,High_Coverage,Negative_Tone,Very_Negative_Tone,High_Polarity,Days_Since_Coverage,ArticleCount_Lag_1,ArticleCount_Lag_2,ArticleCount_Lag_3,ArticleCount_Lag_5,ArticleCount_Lag_7,Tone_Lag_1,Tone_Lag_2,Tone_Lag_3,Tone_Lag_5,Tone_Lag_7,Polarity_Lag_1,Polarity_Lag_2,Polarity_Lag_3,Polarity_Lag_5,Polarity_Lag_7,WordCount_Lag_1,WordCount_Lag_2,WordCount_Lag_3,WordCount_Lag_5,WordCount_Lag_7,High_Coverage_Lag_1,High_Coverage_Lag_2,High_Coverage_Lag_3,High_Coverage_Lag_5,High_Coverage_Lag_7,Negative_Tone_Lag_1,Negative_Tone_Lag_2,Negative_Tone_Lag_3,Negative_Tone_Lag_5,Negative_Tone_Lag_7,Very_Negative_Tone_Lag_1,Very_Negative_Tone_Lag_2,Very_Negative_Tone_Lag_3,Very_Negative_Tone_Lag_5,Very_Negative_Tone_Lag_7,Returns_Lag_1,Returns_Lag_2,Returns_Lag_3,Returns_Lag_5,Returns_Lag_7,Volume_Change_Lag_1,Volume_Change_Lag_2,Volume_Change_Lag_3,Volume_Change_Lag_5,Volume_Change_Lag_7,Volatility_5_Lag_1,Volatility_5_Lag_2,Volatility_5_Lag_3,Volatility_5_Lag_5,Volatility_5_Lag_7,Price_Range_Lag_1,Price_Range_Lag_2,Price_Range_Lag_3,Price_Range_Lag_5,Price_Range_Lag_7,Volume_Spike,Price_Drop,Major_Event,Pre_Event_Window,Event_Day,Post_Event_Window
2013-01-03,34.630001,34.75,34.139999,34.310001,32.285187,21819500,-0.010954108127820938,-0.3536571638466278,0.01777910178434553,-0.009240542615057974,16.898314669180113,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.023349726818960047,,,,,0,0,0,0,0,0
2013-01-04,34.450001,34.75,34.400002,34.610001,32.567497,21687300,0.008743806215569583,-0.006058800614129556,0.01011262611636444,0.004644412056765879,16.892237439836748,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,-0.010954108127820938,,,,,-0.3536571638466278,,,,,,,,,,0.01777910178434553,0.023349726818960047,,,,0,0,0,0,0,0
2013-01-07,34.439999,34.52,34.209999,34.43,32.398109,14008300,-0.005200837757849186,-0.3540781932282949,0.0090038048213767,-0.00029033101888303,16.45516064043827,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.008743806215569583,-0.010954108127820938,,,,-0.006058800614129556,-0.3536571638466278,,,,,,,,,0.01011262611636444,0.01777910178434553,0.023349726818960047,,,0,0,0,0,0,0
2013-01-08,34.150002,34.509998,34.060001,34.439999,32.407524,17408900,0.0002904153354632566,0.24275608032380802,0.01306611536196628,0.008491858946304004,16.672492185110915,34.495999999999995,,21736480.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,-0.005200837757849186,0.008743806215569583,-0.010954108127820938,,,-0.3540781932282949,-0.006058800614129556,-0.3536571638466278,,,,,,,,0.0090038048213767,0.01011262611636444,0.01777910178434553,,,0,0,0,1,0,0
2013-01-09,34.5,34.799999,34.380001,34.459999,32.426338,18932700,0.0005807201097771664,0.08752994158160488,0.012187986424491759,-0.001159449275362221,16.756401196578224,34.45,,18771340.0,0.0,0.00733761867460469,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0002904153354632566,-0.005200837757849186,0.008743806215569583,,,0.24275608032380802,-0.3540781932282949,-0.006058800614129556,,,,,,,,0.01306611536196628,0.0090038048213767,0.01011262611636444,0.023349726818960047,,0,0,0,1,0,0
2013-01-10,34.560001,34.919998,34.41,34.91,32.849781,17843600,0.01305864808643764,-0.057524811569401035,0.014608937267258754,0.010127285586594655,16.697155514522997,34.5699998,,17976160.0,0.0,0.007303994024858774,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0005807201097771664,0.0002904153354632566,-0.005200837757849186,-0.010954108127820938,,0.08752994158160488,0.24275608032380802,-0.3540781932282949,-0.3536571638466278,,0.00733761867460469,,,,,0.012187986424491759,0.01306611536196628,0.0090038048213767,0.01777910178434553,,0,0,0,1,0,0
2013-01-11,34.959999,35.0,34.779999,34.860001,32.802738,15105200,-0.0014322257232884938,-0.1534667892129391,0.006310986623322342,-0.002860354772893628,16.53054967956641,34.6199998,,16659740.0,0.0,0.006881159531015116,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01305864808643764,0.0005807201097771664,0.0002904153354632566,0.008743806215569583,,-0.057524811569401035,0.08752994158160488,0.24275608032380802,-0.006058800614129556,,0.007303994024858774,0.00733761867460469,,,,0.014608937267258754,0.012187986424491759,0.01306611536196628,0.01011262611636444,0.023349726818960047,0,0,0,1,0,0
2013-01-14,34.830002,35.0,34.599998,34.959999,32.896832,14589400,0.0028685598718143357,-0.034147181103196256,0.011441705132771903,0.003732328238166711,16.49580586413869,34.7259996,,16775960.0,0.0,0.005788053612974119,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014322257232884938,0.01305864808643764,0.0005807201097771664,-0.005200837757849186,-0.010954108127820938,-0.1534667892129391,-0.057524811569401035,0.08752994158160488,-0.3540781932282949,-0.3536571638466278,0.006881159531015116,0.007303994024858774,0.00733761867460469,,,0.006310986623322342,0.014608937267258754,0.012187986424491759,0.0090038048213767,0.01777910178434553,0,0,0,1,0,0
2013-01-15,34.57,34.880001,34.52,34.700001,32.65218,16263600,-0.007437013942706461,0.1147545478223917,0.01037466828891437,0.003760514897309807,16.604440101279106,34.778000000000006,,16546900.0,0.0,0.007496410745071434,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028685598718143357,-0.0014322257232884938,0.01305864808643764,0.0002904153354632566,0.008743806215569583,-0.034147181103196256,-0.1534667892129391,-0.057524811569401035,0.24275608032380802,-0.006058800614129556,0.005788053612974119,0.006881159531015116,0.007303994024858774,,,0.011441705132771903,0.006310986623322342,0.014608937267258754,0.01306611536196628,0.01011262611636444,0,0,0,1,0,0
2013-01-16,34.630001,34.869999,34.560001,34.639999,32.59573,17608200,-0.0017291642152977849,0.08267542241570136,0.008949134207538522,0.0002887092033293057,16.68387531738907,34.814,,16282000.0,0.0,0.007639177815632508,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007437013942706461,0.0028685598718143357,-0.0014322257232884938,0.0005807201097771664,-0.005200837757849186,0.1147545478223917,-0.034147181103196256,-0.1534667892129391,0.08752994158160488,-0.3540781932282949,0.007496410745071434,0.005788053612974119,0.006881159531015116,0.00733761867460469,,0.01037466828891437,0.011441705132771903,0.006310986623322342,0.012187986424491759,0.0090038048213767,0,0,0,1,0,0
